,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
20,Pārdodu vienistabas dzīvokli Ķengaragā. Centrālā apkure un ūdens,Prūšu 21,1,13,2/4,Hrušč.,962 €,"12,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dpxgj.html,kengarags
21,Piedāvājam iegādāties jauku un mājīgu 1-istabas dzīvokli tuvajā ,Prūšu 21,1,32,4/4,Hrušč.,"1,031 €","33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dpnmn.html,kengarags
22,Собственник продает 2хкомнатную квартиру на 2м этаже. Комнаты из,Maskavas 269A,2,38,2/5,LT proj.,921 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/agbmo.html,kengarags
23,"Большие изолированные комнаты, застекленная лоджия. 
Кухня и ва",Lokomotīves 44,2,50,1/5,LT proj.,660 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/hkjxe.html,kengarags
24,"Собственник продает 3-х комнатную квартиру, без ремонта. 
Кварт",Festivāla 1,3,55,3/5,Specpr.,827 €,"45,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ffcck.html,kengarags
25,Tiek pārdots ar kvalitatīvu kapitālo remontu 67 kvadrātmetrus pl,Plostu 24,3,67,5/5,LT proj.,"1,022 €","68,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dicme.html,kengarags
26,"Освобождена. без ремонта. солнечная. район
 Доле",Bultu 3,1,32,7/9,467.,922 €,"29,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gllef.html,kengarags
27,Продам квартиру. чисто. окна двери новые,Maskavas 256/6,2,48,2/5,Hrušč.,667 €,"32,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fijxo.html,kengarags
28,Tiek pārdots silts un saulains dzivoklis 50 m attālumā no promen,Maskavas 252 k-6,2,47,4/5,LT proj.,915 €,"43,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bdfgc.html,kengarags
29,"В идеальном состоянии, полностью меблированная и с кухонной техн",Maskavas 383,3,75,1/3,Staļina,"1,060 €","79,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/deggm.html,kengarags
0,"Pardots 2.ist dzivoklis ar visas ērtības, čehu proekta. Istabas ",Aglonas 2,2,50,7/12,Čehu pr.,934 €,"46,700  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ejlbm.html,kengarags
1,Dzīvoklis ir labā stāvoklī. Mebelēts. Izolētas istabas. Balkons.,Višķu 13,2,48,2/5,LT proj.,831 €,"39,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dbfej.html,kengarags
2,Gaišs un silts trīsistabu dzīvoklis. Divas istabas izolētas. Ieb,Maskavas 291 k-3,3,60,5/5,LT proj.,"1,000 €","59,990  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/afpcn.html,kengarags
3,"Plašs un ērts 1 istabas dzīvoklis Ķengaragā
Labs izvietojums - ",Izvaltas 6,1,39,3/5,M. ģim.,788 €,"30,750  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ibepo.html,kengarags
4,"Mājīgs, labā stāvoklī esošs 2-istabu dzīvoklis meklē sev jaunus ",Maskavas 254/7,2,44,1/5,Hrušč.,950 €,"41,800  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/cichc.html,kengarags
5,"Saimnieks pārdod dzīvokli. Dzīvoklis ir ļoti silts, ar mēbelēm, ",Maskavas 313,1,37,2/12,M. ģim.,892 €,"33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/egeco.html,kengarags
6,"Saimniece, bez starpniekiem, pārdod dzīvokli - sauss, gaišs un n",Maskavas 285,2,46,5/5,LT proj.,804 €,"37,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/degco.html,kengarags
7,"Изолированные комнаты, с ремонтом, редкая планировка 2-комнатная",Lokomotīves 48,2,38,2/5,LT proj.,971 €,"36,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/agkjm.html,kengarags
8,"Pārdod, Dzīvoklis, Rīga, Ķengarags, Lokomotīves iela, 33500 €. Z",Lokomotīves 86,2,39,5/5,LT proj.,859 €,"33,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/abhjl.html,kengarags
9,"Продаю двух комнатную квартиру, сделан капитальный ремонт, не уг",Prūšu 20,2,43,5/5,Hrušč.,907 €,"39,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/agieo.html,kengarags
10,"Skaists un silts 2 istabu dzīvoklis Ķengaragā, auto novietne pag",Lokomotīves 32,2,44,1/2,Staļina,818 €,"36,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gnlmo.html,kengarags
11,Pārdodam laba plānojuma dzīvokli – izolētas istabas 11 kv. m. un,Maskavas 252,2,43,1/5,LT proj.,791 €,"34,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/aeiek.html,kengarags
12,"Предлагается хорошая квартира, чистая, с хорошим ремонтом. 
Зем",Lokomotīves 72,3,58,9/9,467.,"1,033 €","59,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dpxlo.html,kengarags
13,"Продается светлая, теплая квартира. Не угловая. Окна выходят на ",Aglonas 28,2,49,4/5,LT proj.,745 €,"36,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gbkji.html,kengarags
14,"Pārdod dzīvokli jaunajā lietuviešu projektā. 

Saulains, gaišs",Rasas 4,3,56,5/5,LT proj.,875 €,"49,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gjjji.html,kengarags
15,"Pārdod 1, 5-istabu dzīvokli. Dzīvoklim ir mainīti logi, nepiecie",Aviācijas 5,2,38,5/5,LT proj.,816 €,"31,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/dfloj.html,kengarags
16,"Labs piedāvājums. 
Īpašnieks pārdod dzīvokli labā stāvoklī. 
T",Maskavas 419,4,60,4/5,LT proj.,808 €,"48,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/coblm.html,kengarags
17,Pārdod remontam sagatavotu trīsistabu dzīvokli. Demontētas vecās,Maskavas 268/3,3,59,3/5,LT proj.,746 €,"44,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/agmof.html,kengarags
18,"Lēts - 3 istabu dzīvoklis, Ķengaragā pie 28 vidusskolas. Bez rem",Maltas 15,3,60,5/5,LT proj.,717 €,"43,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gxmoh.html,kengarags
19,"Продаётся отличная 1 комнатная квартира студия, в новом литовско",Maskavas 411,1,32,2/5,LT proj.,"1,031 €","33,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/idmje.html,kengarags
20,Продается 2х комнатная квартира Литовский поэкт в тихом зеленом ,Lokomotīves 94,2,45,1/5,LT proj.,778 €,"35,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/fxlen.html,kengarags
21,"Piedāvājam iegādāties jauku un mājīgu 2-istabu dzīvokli, sakoptā",Prūšu 73,2,38,3/5,LT proj.,"1,050 €","39,900  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/gpoec.html,kengarags
22,Pārdodam 3 istabu dzīvokli Salaspils iela 6k-2. kopējā platība 6,Salaspils 6,3,60,4/5,LT proj.,783 €,"46,999  €",https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/acjbj.html,kengarags
